session_id,user_id,channel_id,channel_name,show_name,genre,timestamp,duration_minutes,region,subscription_type,device,platform,is_live,ads_watched,ad_revenue,engagement_score,buffer_count,completion_percentage
SID306216,U47100,CH023,India TV,Show_37,Kids,2025-07-30 20:29:04,159,Central,Basic,Smart TV,Web,True,4,317.17,0.61,0,60.42
SID378567,U10573,CH035,KTV,Show_24,Movies,2025-07-31 13:06:32,9,East,Free,Smart TV,Android,True,0,0.0,0.41,3,42.33
SID500230,U38948,CH045,Zee Bangla,Show_152,Entertainment,2025-07-31 12:54:05,94,East,Free,Tablet,iOS,True,2,335.38,0.49,3,94.24
SID714295,U33354,CH045,Zee Bangla,Show_15,Entertainment,2025-07-28 06:01:49,74,East,Basic,Tablet,FireTV,False,2,197.15,0.87,1,30.23
SID726151,U53423,CH049,News18 Kerala,Show_57,Entertainment,2025-07-30 09:34:17,116,East,Premium,Tablet,iOS,False,4,615.37,0.41,3,36.47
SID434268,U28910,CH017,Sony Sports Ten 2,Show_152,Movies,2025-07-28 19:03:35,159,Central,Basic,Tablet,iOS,True,2,116.43,0.5,3,79.33
SID799850,U57981,CH024,News18 India,Show_14,News,2025-07-29 17:45:04,166,North,Basic,Smart TV,Web,False,5,785.0,0.44,1,37.52
SID806059,U24261,CH022,ABP News,Show_95,News,2025-07-27 02:55:41,169,Central,Basic,Mobile,FireTV,False,0,0.0,0.59,0,75.68
SID381651,U33940,CH019,DD Sports,Show_138,Sports,2025-07-27 09:03:11,99,North,Premium,Laptop,Roku,True,3,397.26,0.31,2,78.35
SID483463,U33303,CH008,Zee Anmol,Show_122,Sports,2025-07-28 21:35:26,128,Northeast,Premium,Smart TV,Android,False,1,61.01,0.91,3,71.58
SID757810,U51311,CH037,Zee Telugu,Show_58,Kids,2025-07-25 17:42:29,75,East,Premium,Laptop,Roku,True,3,288.0,0.48,0,77.31
SID548957,U31892,CH010,DD National,Show_52,Music,2025-07-27 04:40:39,6,South,Basic,Mobile,Web,True,4,481.2,0.44,2,39.03
SID539765,U12996,CH003,Sony Entertainment Television,Show_153,Entertainment,2025-07-26 23:30:31,66,Northeast,Free,Laptop,Roku,True,1,95.22,0.67,3,23.06
SID124029,U34765,CH039,Gemini TV,Show_160,Movies,2025-07-30 04:52:27,92,Northeast,Basic,Smart TV,Web,True,1,52.72,0.79,2,90.06
SID678118,U10708,CH019,DD Sports,Show_61,Sports,2025-07-27 19:23:24,151,East,Premium,Laptop,iOS,True,4,145.52,0.8,0,84.99
SID605718,U18490,CH005,Star Bharat,Show_66,Entertainment,2025-07-31 00:48:10,91,Central,Premium,Mobile,FireTV,False,0,0.0,0.61,2,88.26
SID935920,U30775,CH005,Star Bharat,Show_41,Entertainment,2025-07-31 08:14:54,99,Pan-India,Premium,Laptop,Android,True,0,0.0,0.26,3,23.94
SID383047,U14396,CH031,Sun TV,Show_4,Entertainment,2025-07-26 03:45:33,123,North,Free,Smart TV,iOS,False,5,839.27,0.24,0,92.75
SID896716,U18490,CH035,KTV,Show_138,Movies,2025-07-26 18:00:51,176,South,Free,Mobile,iOS,True,0,0.0,0.49,1,72.5
SID444387,U13779,CH042,Zee Kannada,Show_72,Entertainment,2025-07-26 02:02:43,93,Central,Premium,Laptop,Web,True,0,0.0,0.26,0,45.41
SID506556,U11322,CH027,CNN-News18,Show_14,News,2025-07-26 10:03:43,179,Northeast,Free,Laptop,Roku,False,5,149.37,0.21,2,71.43
SID757985,U16116,CH013,Star Sports 3,Show_129,Entertainment,2025-07-31 01:27:06,67,South,Free,Mobile,Roku,True,3,107.03,0.96,0,75.89
SID899959,U47671,CH016,Sony Sports Ten 1,Show_159,Sports,2025-07-26 11:09:21,88,East,Premium,Tablet,Android,True,4,215.33,0.69,3,23.42
SID540490,U46671,CH032,Star Vijay,Show_99,Entertainment,2025-07-25 13:35:26,27,West,Free,Tablet,FireTV,False,5,81.58,0.83,0,85.12
SID971001,U42628,CH042,Zee Kannada,Show_168,Sports,2025-07-26 13:14:33,179,East,Basic,Laptop,Roku,True,0,0.0,0.41,1,28.1
SID817236,U27278,CH035,KTV,Show_151,Movies,2025-07-29 15:11:38,176,South,Premium,Mobile,iOS,True,4,301.64,0.65,1,63.51
SID159503,U46164,CH013,Star Sports 3,Show_19,Movies,2025-07-29 13:47:42,2,South,Basic,Tablet,FireTV,True,0,0.0,0.4,0,83.49
SID204843,U48435,CH045,Zee Bangla,Show_132,Entertainment,2025-07-26 02:01:22,143,Northeast,Premium,Mobile,iOS,False,4,725.33,0.68,1,83.11
SID675108,U45527,CH003,Sony Entertainment Television,Show_197,Entertainment,2025-07-30 00:48:07,169,South,Free,Smart TV,iOS,False,0,0.0,0.25,3,71.36
SID985544,U22174,CH018,Sony Sports Ten 3,Show_161,Movies,2025-07-30 20:43:00,61,North,Basic,Mobile,FireTV,True,5,994.64,0.81,2,84.87
SID129566,U34636,CH047,DD Sahyadri,Show_128,Kids,2025-07-28 08:16:15,122,East,Premium,Laptop,Android,False,4,685.28,0.74,0,93.75
SID874162,U45919,CH004,Zee TV,Show_44,Entertainment,2025-07-31 14:55:39,64,Pan-India,Basic,Mobile,Web,False,2,341.51,0.23,0,51.84
SID341021,U38878,CH008,Zee Anmol,Show_94,Entertainment,2025-07-29 14:49:28,73,Pan-India,Basic,Tablet,Web,False,1,70.64,0.96,1,43.85
SID278407,U52807,CH011,Star Sports 1,Show_9,Sports,2025-07-28 20:12:53,67,North,Basic,Mobile,iOS,True,2,229.18,0.36,0,21.94
SID240310,U26721,CH009,Colors Rishtey,Show_147,News,2025-07-27 10:13:14,6,West,Free,Smart TV,Android,True,4,249.32,0.29,1,83.96
SID992047,U12069,CH014,Star Sports Select 1,Show_80,News,2025-07-31 04:56:50,128,Northeast,Basic,Smart TV,Roku,False,1,34.52,0.69,1,53.22
SID927062,U24221,CH023,India TV,Show_32,Kids,2025-07-24 18:20:40,36,South,Premium,Smart TV,iOS,False,1,137.84,0.91,2,97.21
SID852607,U40818,CH028,NDTV India,Show_107,News,2025-07-31 03:36:48,13,Northeast,Basic,Tablet,FireTV,False,3,561.78,0.36,0,53.72
SID312964,U35127,CH025,Republic Bharat,Show_57,News,2025-07-29 04:16:52,47,Central,Free,Tablet,Android,True,3,94.85,0.73,1,93.67
SID597456,U29305,CH004,Zee TV,Show_29,Entertainment,2025-07-29 10:42:54,29,South,Premium,Laptop,FireTV,True,3,315.39,0.8,2,94.8
SID108785,U58268,CH031,Sun TV,Show_15,Entertainment,2025-07-31 07:28:49,76,East,Premium,Smart TV,FireTV,False,0,0.0,0.65,1,46.36
SID262149,U35578,CH038,ETV Telugu,Show_102,Entertainment,2025-07-29 15:32:22,91,West,Premium,Mobile,FireTV,True,3,318.83,0.29,2,67.77
SID746985,U40347,CH034,Zee Tamil,Show_158,Music,2025-07-31 00:14:05,25,North,Premium,Tablet,Roku,False,4,394.8,0.35,1,33.14
SID863253,U53331,CH038,ETV Telugu,Show_146,Entertainment,2025-07-29 13:07:39,28,West,Basic,Smart TV,Web,True,3,288.12,0.21,2,70.2
SID384311,U36193,CH020,Eurosport India,Show_173,Movies,2025-07-30 06:58:15,110,South,Free,Laptop,FireTV,False,5,972.25,0.5,2,93.72
SID735677,U48107,CH017,Sony Sports Ten 2,Show_21,Movies,2025-07-26 11:29:27,42,Pan-India,Basic,Laptop,FireTV,False,5,560.07,0.91,1,25.39
SID350736,U29723,CH050,News18 Tamil Nadu,Show_93,Movies,2025-07-29 00:14:54,91,Pan-India,Basic,Laptop,Roku,False,5,689.25,0.77,2,82.79
SID428757,U11899,CH016,Sony Sports Ten 1,Show_184,Sports,2025-07-27 22:09:04,161,South,Premium,Laptop,FireTV,True,1,129.77,0.7,3,64.9
SID986588,U20958,CH049,News18 Kerala,Show_146,Entertainment,2025-07-31 11:06:56,47,North,Free,Tablet,FireTV,True,5,473.74,0.48,1,41.07
SID632384,U44329,CH042,Zee Kannada,Show_150,Sports,2025-07-30 18:20:23,62,Pan-India,Basic,Tablet,Roku,False,0,0.0,0.52,1,87.64
SID363085,U32222,CH003,Sony Entertainment Television,Show_173,Entertainment,2025-07-30 06:47:37,6,Northeast,Free,Laptop,iOS,False,3,186.99,0.64,2,88.57
SID117310,U52659,CH015,Star Sports Select 2,Show_67,Music,2025-07-30 19:11:04,76,West,Basic,Tablet,Android,False,3,277.0,0.82,3,31.97
SID977006,U31800,CH017,Sony Sports Ten 2,Show_131,Music,2025-07-29 07:05:07,82,South,Premium,Smart TV,Android,True,1,137.64,0.43,0,31.4
SID963256,U27811,CH010,DD National,Show_53,Kids,2025-07-27 10:00:18,62,Northeast,Premium,Tablet,iOS,False,2,105.87,0.38,1,81.36
SID739022,U13842,CH023,India TV,Show_58,Sports,2025-07-31 07:56:20,26,Central,Premium,Tablet,Roku,False,1,30.26,0.56,1,50.32
SID630207,U21228,CH017,Sony Sports Ten 2,Show_83,News,2025-07-26 17:45:54,78,Northeast,Free,Smart TV,iOS,False,0,0.0,0.23,0,47.52
SID783585,U57579,CH034,Zee Tamil,Show_67,Music,2025-07-31 08:04:33,82,South,Basic,Mobile,Web,False,0,0.0,0.77,1,57.76
SID502569,U28043,CH023,India TV,Show_64,News,2025-07-31 08:48:14,89,South,Basic,Smart TV,FireTV,False,4,40.47,0.45,1,76.09
SID454711,U31839,CH049,News18 Kerala,Show_28,Sports,2025-07-26 21:19:22,143,South,Basic,Mobile,FireTV,False,3,535.45,0.96,2,66.43
SID777635,U39345,CH029,Zee News,Show_53,News,2025-07-29 01:01:00,72,Northeast,Premium,Mobile,Web,True,1,36.96,0.68,0,68.37
SID218837,U41532,CH006,Sony SAB,Show_42,Sports,2025-07-27 01:23:04,111,Central,Free,Mobile,FireTV,False,3,504.63,0.33,1,94.57
SID263721,U57892,CH038,ETV Telugu,Show_36,Entertainment,2025-07-28 22:49:15,151,Central,Basic,Smart TV,iOS,False,4,633.19,0.52,2,85.92
SID265265,U35192,CH046,ETV Marathi,Show_102,Entertainment,2025-07-29 02:08:06,168,North,Premium,Laptop,iOS,False,3,172.52,0.94,3,33.96
SID392215,U49676,CH032,Star Vijay,Show_166,Entertainment,2025-07-28 07:11:45,5,Pan-India,Free,Tablet,iOS,True,4,158.54,0.57,1,44.71
SID990979,U30996,CH029,Zee News,Show_185,News,2025-07-25 21:09:57,9,Northeast,Free,Smart TV,Android,False,2,85.59,0.88,1,31.28
SID301799,U13471,CH026,Times Now,Show_45,News,2025-07-31 07:19:02,79,Central,Free,Mobile,Roku,False,4,383.15,0.58,3,76.72
SID296838,U41027,CH014,Star Sports Select 1,Show_110,Music,2025-07-31 16:59:36,64,Northeast,Basic,Tablet,Android,True,5,730.49,0.55,2,53.17
SID873041,U42858,CH024,News18 India,Show_72,Entertainment,2025-07-26 08:28:27,108,Pan-India,Basic,Mobile,Android,False,5,650.26,0.3,1,34.2
SID164004,U19417,CH043,Colors Kannada,Show_31,News,2025-07-25 11:35:21,66,North,Premium,Laptop,Web,True,3,324.83,0.93,1,63.02
SID294570,U20784,CH014,Star Sports Select 1,Show_133,Entertainment,2025-07-31 04:56:00,9,West,Premium,Smart TV,iOS,True,1,32.25,0.61,0,21.47
SID989775,U15764,CH010,DD National,Show_45,Entertainment,2025-07-27 03:03:50,84,Central,Premium,Mobile,Web,False,2,311.86,0.43,1,98.25
SID972569,U18508,CH004,Zee TV,Show_165,Entertainment,2025-07-29 07:31:01,44,North,Premium,Laptop,Roku,True,0,0.0,0.76,1,23.1
SID945377,U23689,CH031,Sun TV,Show_66,Entertainment,2025-07-27 18:18:23,5,North,Basic,Laptop,Android,False,0,0.0,0.98,1,89.94
SID955572,U16843,CH033,Colors Tamil,Show_95,Movies,2025-07-29 22:28:21,1,North,Free,Smart TV,Web,True,0,0.0,0.27,2,94.14
SID319113,U51117,CH009,Colors Rishtey,Show_79,Movies,2025-07-28 15:00:53,72,North,Free,Laptop,Web,True,1,190.98,0.3,3,36.08
SID327300,U56162,CH009,Colors Rishtey,Show_83,Movies,2025-07-29 12:49:50,133,Pan-India,Basic,Mobile,Roku,True,4,290.73,0.46,1,94.04
SID553132,U10939,CH021,Aaj Tak,Show_13,News,2025-07-27 09:31:27,31,East,Premium,Smart TV,Web,True,3,227.42,0.99,0,87.06
SID874818,U46162,CH022,ABP News,Show_127,News,2025-07-29 21:54:19,25,Northeast,Basic,Smart TV,FireTV,False,1,87.12,0.75,2,50.92
SID257848,U14578,CH049,News18 Kerala,Show_90,Entertainment,2025-07-28 00:03:20,33,East,Premium,Tablet,Roku,True,2,129.91,0.36,1,99.01
SID504200,U39014,CH001,Star Plus,Show_123,Entertainment,2025-07-30 14:49:04,96,East,Free,Mobile,iOS,False,1,96.32,0.7,3,89.31
SID939630,U44064,CH037,Zee Telugu,Show_71,News,2025-07-29 00:45:39,165,West,Premium,Laptop,Roku,False,3,518.82,0.45,1,68.03
SID915478,U32181,CH033,Colors Tamil,Show_116,Kids,2025-07-31 12:14:50,109,East,Basic,Smart TV,FireTV,False,1,90.73,0.56,1,76.32
SID778668,U40473,CH048,DD Bangla,Show_53,Entertainment,2025-07-28 23:12:19,75,Central,Basic,Smart TV,Android,False,1,60.59,0.33,2,47.96
SID911028,U56147,CH044,Zee Marathi,Show_91,Entertainment,2025-07-25 03:02:54,22,East,Basic,Smart TV,Android,False,4,414.44,0.63,3,49.73
SID416300,U36123,CH015,Star Sports Select 2,Show_47,News,2025-07-26 16:11:36,74,Central,Basic,Laptop,Roku,False,2,258.07,0.29,0,67.28
SID110337,U48947,CH007,Dangal TV,Show_1,Kids,2025-07-26 03:45:18,35,East,Premium,Smart TV,Android,False,5,878.85,0.47,3,86.71
SID648360,U59076,CH019,DD Sports,Show_130,Sports,2025-07-26 01:21:06,137,Northeast,Basic,Laptop,iOS,False,0,0.0,0.74,0,66.39
SID134369,U30310,CH015,Star Sports Select 2,Show_37,Sports,2025-07-27 16:16:28,52,Central,Premium,Tablet,FireTV,False,4,737.41,0.64,2,98.05
SID360823,U24638,CH018,Sony Sports Ten 3,Show_199,News,2025-07-30 23:01:49,125,West,Premium,Mobile,Web,True,2,135.63,0.27,0,40.94
SID543081,U16120,CH007,Dangal TV,Show_108,Kids,2025-07-31 14:37:58,89,Central,Free,Smart TV,Android,False,4,509.73,0.25,3,63.55
SID687849,U28699,CH004,Zee TV,Show_68,Entertainment,2025-07-28 15:44:05,84,West,Premium,Laptop,Web,True,3,345.7,0.92,2,53.16
SID279962,U10276,CH010,DD National,Show_138,Movies,2025-07-30 23:16:07,99,North,Free,Laptop,FireTV,True,3,48.98,0.33,3,38.37
SID859067,U44728,CH039,Gemini TV,Show_50,Kids,2025-07-29 20:52:04,167,Central,Free,Laptop,Web,True,1,20.21,0.7,1,47.15
SID668766,U29821,CH045,Zee Bangla,Show_74,Entertainment,2025-07-25 11:36:29,15,West,Premium,Laptop,Roku,False,4,693.69,0.66,3,72.06
SID916031,U29170,CH038,ETV Telugu,Show_176,Entertainment,2025-07-28 15:42:53,157,Northeast,Free,Smart TV,iOS,True,2,227.02,0.63,0,64.01
SID261983,U37373,CH018,Sony Sports Ten 3,Show_171,Entertainment,2025-07-30 22:20:42,37,East,Free,Smart TV,Web,True,2,311.09,0.84,3,23.45
SID549007,U45189,CH021,Aaj Tak,Show_64,News,2025-07-25 06:51:36,170,East,Free,Mobile,Web,True,4,479.83,0.69,0,45.3
SID565393,U16528,CH020,Eurosport India,Show_22,Kids,2025-07-27 14:16:51,145,West,Free,Mobile,Android,True,3,556.41,0.33,0,74.83
SID287027,U15448,CH011,Star Sports 1,Show_77,Sports,2025-07-25 20:01:53,100,West,Free,Laptop,Web,True,5,225.49,0.31,1,42.16
SID790345,U44714,CH004,Zee TV,Show_183,Entertainment,2025-07-29 05:22:43,167,East,Premium,Laptop,FireTV,False,2,218.54,0.88,2,65.55
SID162472,U53261,CH045,Zee Bangla,Show_128,Entertainment,2025-07-26 11:51:13,141,West,Premium,Mobile,Roku,False,5,862.79,0.77,3,93.18
SID692993,U43791,CH002,Colors TV,Show_178,Entertainment,2025-07-30 20:33:28,176,West,Basic,Smart TV,FireTV,False,4,503.52,0.21,0,67.11
SID845949,U30316,CH027,CNN-News18,Show_186,News,2025-07-26 13:06:13,88,North,Free,Smart TV,Web,True,1,76.12,0.32,1,32.86
SID236073,U13245,CH044,Zee Marathi,Show_53,Music,2025-07-28 01:34:04,36,East,Premium,Smart TV,Android,True,0,0.0,0.56,2,39.69
SID272342,U47678,CH025,Republic Bharat,Show_94,News,2025-07-25 21:15:56,44,South,Premium,Mobile,Roku,False,1,129.77,0.21,2,53.88
SID172517,U39016,CH029,Zee News,Show_122,News,2025-07-25 10:57:38,51,South,Free,Mobile,FireTV,False,2,95.67,0.25,1,50.16
SID639635,U44314,CH050,News18 Tamil Nadu,Show_61,News,2025-07-30 18:53:24,120,North,Basic,Laptop,iOS,False,4,318.68,0.48,0,64.52
SID379215,U54011,CH049,News18 Kerala,Show_9,Sports,2025-07-24 18:10:22,167,West,Free,Laptop,Android,True,1,194.88,0.7,2,71.98
SID629219,U30284,CH040,Asianet,Show_4,Entertainment,2025-07-27 02:25:27,6,West,Basic,Smart TV,FireTV,False,1,118.62,0.49,1,26.77
SID391753,U56973,CH009,Colors Rishtey,Show_30,Movies,2025-07-27 13:53:54,146,North,Free,Mobile,iOS,True,1,183.33,0.69,3,90.37
SID209312,U25487,CH021,Aaj Tak,Show_126,News,2025-07-28 01:23:27,74,South,Free,Tablet,Android,False,2,81.17,0.86,0,60.27
SID303283,U17716,CH044,Zee Marathi,Show_121,Music,2025-07-25 06:49:12,41,Northeast,Basic,Mobile,FireTV,False,0,0.0,0.43,3,66.54
SID325942,U33040,CH018,Sony Sports Ten 3,Show_55,Movies,2025-07-31 05:32:27,121,North,Basic,Tablet,Web,True,5,258.01,0.41,1,39.73
SID982968,U28944,CH010,DD National,Show_49,Movies,2025-07-30 04:05:27,159,North,Free,Tablet,iOS,True,5,510.82,0.47,0,77.75
SID565240,U21392,CH008,Zee Anmol,Show_71,Entertainment,2025-07-26 02:16:05,180,Pan-India,Basic,Laptop,Android,True,5,365.06,0.23,2,23.92
SID924926,U38891,CH008,Zee Anmol,Show_75,Kids,2025-07-26 16:31:19,145,West,Premium,Tablet,Android,True,1,120.84,0.64,2,51.82
SID631306,U49617,CH033,Colors Tamil,Show_189,News,2025-07-28 13:56:15,1,North,Free,Mobile,Web,True,3,134.62,0.45,2,51.1
SID641846,U38085,CH035,KTV,Show_113,Movies,2025-07-29 10:06:25,112,North,Basic,Laptop,Android,False,2,140.36,0.75,0,50.78
SID607381,U29323,CH030,India Today,Show_58,Entertainment,2025-07-29 02:52:45,90,East,Basic,Smart TV,Roku,True,5,464.04,0.58,3,75.83
