user_id,gender,age_group,region,subscription_type
U32348,Male,46-60,East,Premium
U58481,Male,46-60,Pan-India,Basic
U27848,Male,26-35,East,Free
U25456,Female,60+,West,Basic
U45758,Other,36-45,Northeast,Free
U30394,Male,60+,South,Premium
U48771,Female,26-35,Pan-India,Basic
U17960,Other,60+,Northeast,Basic
U36394,Male,18-25,North,Free
U54989,Other,26-35,Northeast,Basic
U56974,Male,<18,Northeast,Free
U20626,Male,<18,North,Basic
U44353,Female,60+,East,Basic
U20099,Other,26-35,Pan-India,Free
U50717,Female,46-60,North,Free
U20435,Other,60+,Northeast,Free
U50109,Female,36-45,South,Free
U32791,Male,60+,Northeast,Basic
U34871,Male,<18,Northeast,Basic
U39881,Male,46-60,North,Premium
U52418,Female,60+,West,Free
U49617,Male,36-45,Pan-India,Free
U28674,Other,46-60,West,Premium
U30582,Female,26-35,East,Free
U54351,Male,46-60,Pan-India,Free
U16872,Female,36-45,Pan-India,Premium
U40947,Female,60+,South,Basic
U27786,Male,<18,West,Basic
U34873,Other,26-35,East,Free
U54404,Other,46-60,East,Premium
U51117,Female,46-60,Pan-India,Free
U34783,Other,46-60,Northeast,Free
U29234,Male,<18,Pan-India,Free
U21547,Male,26-35,North,Basic
U42768,Male,18-25,East,Free
U15839,Other,<18,South,Free
U41971,Female,60+,Pan-India,Basic
U27000,Male,46-60,South,Premium
U43562,Other,60+,Central,Basic
U10354,Female,26-35,Central,Free
U13911,Male,46-60,East,Basic
U19705,Male,<18,Northeast,Premium
U12074,Other,36-45,East,Premium
U56566,Other,36-45,West,Premium
U13367,Male,36-45,Pan-India,Basic
U49442,Female,18-25,South,Premium
U10909,Other,46-60,Central,Basic
U39241,Other,36-45,Pan-India,Premium
U54782,Male,26-35,Pan-India,Basic
U55078,Other,46-60,North,Premium
U21161,Male,46-60,South,Free
U17886,Male,46-60,East,Free
U58766,Female,26-35,Northeast,Basic
U34707,Male,60+,Pan-India,Free
U58785,Other,18-25,South,Basic
U25954,Other,26-35,Northeast,Basic
U40572,Other,46-60,Central,Premium
U52834,Male,18-25,Central,Basic
U20592,Male,18-25,North,Basic
U14142,Other,36-45,Central,Basic
U51754,Male,36-45,East,Basic
U39045,Female,60+,South,Basic
U24818,Female,18-25,Northeast,Premium
U16989,Male,26-35,Pan-India,Premium
U40662,Female,26-35,Pan-India,Basic
U55416,Female,<18,Central,Basic
U34967,Female,60+,East,Premium
U24451,Female,18-25,North,Basic
U45059,Other,60+,Northeast,Free
U22772,Other,<18,Northeast,Free
U50088,Other,<18,North,Free
U34881,Other,<18,West,Free
U44639,Female,18-25,Central,Premium
U42846,Other,<18,North,Free
U51255,Other,36-45,East,Free
U39249,Other,18-25,South,Free
U55357,Male,36-45,Central,Premium
U53728,Male,<18,Central,Basic
U12173,Female,<18,Northeast,Premium
U54516,Other,26-35,North,Free
U33213,Male,26-35,Central,Basic
U28403,Male,<18,South,Premium
U34335,Other,<18,North,Free
U47076,Male,26-35,Pan-India,Free
U41864,Male,36-45,West,Free
U14578,Female,60+,North,Free
U53112,Other,60+,Central,Free
U32163,Other,60+,East,Basic
U10890,Other,46-60,North,Free
U48260,Male,36-45,Central,Basic
U16161,Male,36-45,East,Basic
U56307,Male,60+,East,Basic
U23714,Female,18-25,South,Premium
U44703,Female,<18,Northeast,Free
U55034,Male,26-35,North,Basic
U10656,Female,36-45,North,Basic
U13992,Other,36-45,North,Basic
U30865,Male,26-35,Central,Basic
U45774,Female,60+,Northeast,Premium
U38251,Female,18-25,North,Free
U16438,Female,18-25,Northeast,Basic
U47694,Female,46-60,Central,Premium
U40356,Male,36-45,Northeast,Free
U24549,Other,<18,North,Free
U56912,Other,60+,West,Free
U20980,Female,<18,West,Free
U29309,Male,<18,North,Basic
U56611,Other,36-45,South,Free
U27811,Other,<18,Northeast,Free
U10509,Female,18-25,Northeast,Premium
U37531,Female,<18,North,Premium
U37951,Other,60+,Pan-India,Premium
U32537,Other,46-60,North,Basic
U40586,Female,46-60,South,Free
U52129,Male,46-60,West,Premium
U34618,Female,26-35,South,Premium
U29943,Male,<18,Pan-India,Free
U20486,Male,46-60,Central,Premium
U52347,Female,60+,North,Free
U58522,Other,18-25,Central,Free
U24282,Male,26-35,Central,Free
U13299,Male,26-35,Pan-India,Basic
U33261,Other,<18,Northeast,Free
U10680,Male,46-60,Central,Premium
U21886,Other,<18,Northeast,Free
U56297,Male,46-60,East,Premium
U19589,Other,46-60,West,Premium
U12396,Male,26-35,Central,Free
U56945,Other,18-25,South,Basic
U32766,Other,18-25,East,Premium
U52709,Male,36-45,West,Free
U42127,Female,36-45,East,Free
U22516,Male,<18,North,Basic
U54691,Male,36-45,North,Premium
U23485,Male,26-35,Pan-India,Free
U48193,Female,26-35,Central,Premium
U37989,Other,36-45,East,Free
U37258,Male,36-45,West,Premium
U22748,Male,18-25,Northeast,Premium
U41937,Female,26-35,Northeast,Free
U23614,Other,46-60,Pan-India,Premium
U16398,Female,46-60,North,Basic
U32895,Male,26-35,Northeast,Free
U25822,Other,18-25,Central,Free
U12384,Other,26-35,North,Free
U18646,Other,26-35,Central,Premium
U12504,Male,60+,West,Premium
U32883,Female,18-25,Pan-India,Free
U46906,Male,60+,Pan-India,Basic
U42814,Female,26-35,Central,Free
U30435,Female,<18,West,Premium
U25626,Male,36-45,Pan-India,Free
U57746,Other,<18,Northeast,Free
U31685,Male,<18,West,Premium
U36173,Male,18-25,West,Basic
U27349,Female,<18,North,Basic
U16504,Female,60+,Pan-India,Basic
U51692,Other,36-45,East,Basic
U11467,Other,26-35,East,Free
U46697,Male,36-45,Pan-India,Basic
U16946,Female,26-35,East,Free
U39616,Male,18-25,Central,Free
U46216,Other,18-25,North,Premium
U17091,Male,<18,South,Basic
U53996,Other,<18,Pan-India,Premium
U25200,Male,<18,South,Free
U16094,Female,46-60,West,Basic
U26986,Other,18-25,East,Premium
U35786,Male,46-60,West,Premium
U58092,Female,46-60,Pan-India,Premium
U44969,Male,60+,East,Premium
U45563,Male,26-35,South,Premium
U16796,Male,<18,West,Basic
U27372,Male,<18,East,Premium
U43350,Female,46-60,Central,Basic
U56408,Male,36-45,South,Basic
U39279,Female,26-35,East,Premium
U21412,Female,18-25,Central,Basic
U14221,Other,26-35,Pan-India,Premium
U57083,Male,36-45,Northeast,Premium
U42168,Female,60+,Pan-India,Premium
U22239,Female,46-60,Pan-India,Basic
U51514,Female,46-60,East,Basic
U53906,Female,36-45,Northeast,Premium
U31225,Male,26-35,South,Basic
U46517,Male,26-35,East,Free
U25725,Female,36-45,East,Premium
U56670,Male,36-45,East,Premium
U23871,Female,60+,Pan-India,Premium
U26386,Other,46-60,South,Free
U37142,Male,18-25,East,Premium
U14106,Male,18-25,South,Premium
U56409,Other,18-25,North,Free
U58560,Female,<18,Central,Premium
U34695,Male,36-45,East,Premium
U26320,Other,<18,South,Basic
U50254,Male,46-60,North,Free
U58245,Male,36-45,Central,Premium
U55601,Female,36-45,North,Premium
U59947,Other,36-45,Northeast,Basic
U57356,Other,60+,West,Premium
U10836,Female,26-35,Northeast,Free
U47239,Male,26-35,East,Free
U37782,Other,46-60,Northeast,Premium
U19547,Other,18-25,East,Premium
U11065,Female,36-45,West,Free
U12574,Other,36-45,East,Basic
U18433,Female,18-25,North,Basic
U25093,Female,36-45,East,Basic
U58304,Other,<18,East,Premium
U52561,Other,26-35,Central,Basic
U56285,Male,36-45,North,Premium
U49212,Male,36-45,Northeast,Premium
U32515,Other,46-60,North,Free
U10640,Male,36-45,West,Premium
U30618,Female,46-60,Northeast,Premium
U31752,Male,26-35,Pan-India,Free
U56859,Female,60+,East,Free
U36739,Other,60+,Central,Basic
U54957,Female,26-35,Pan-India,Basic
U49959,Male,36-45,East,Premium
U15093,Other,36-45,East,Basic
U36898,Female,18-25,Northeast,Free
U42685,Other,60+,Northeast,Free
U35572,Male,26-35,East,Basic
U30619,Male,36-45,South,Basic
U21815,Other,26-35,West,Free
U33078,Other,46-60,North,Free
U17674,Male,46-60,Pan-India,Free
U21594,Female,26-35,West,Premium
U59329,Male,36-45,East,Premium
U56342,Male,<18,West,Free
U21096,Male,18-25,North,Basic
U42619,Male,18-25,Central,Free
U41242,Male,46-60,South,Basic
U48112,Male,18-25,West,Premium
U18348,Male,60+,Pan-India,Free
U41324,Male,26-35,Pan-India,Free
U53819,Other,<18,North,Premium
U27029,Other,<18,Northeast,Free
U22856,Male,<18,East,Free
U53872,Other,36-45,Northeast,Premium
U30544,Male,26-35,Pan-India,Premium
U55522,Female,60+,Northeast,Free
U39226,Other,60+,East,Premium
U31281,Female,18-25,Central,Basic
U52234,Male,26-35,Pan-India,Premium
U43468,Female,46-60,Pan-India,Premium
U28341,Male,36-45,West,Basic
U41499,Other,<18,Northeast,Basic
U34723,Female,36-45,South,Basic
U50985,Male,36-45,South,Free
U22854,Female,26-35,South,Free
U33980,Female,18-25,North,Premium
U49129,Male,36-45,North,Premium
U20640,Other,18-25,West,Free
U36761,Other,18-25,Central,Basic
U50467,Other,18-25,Pan-India,Premium
U55736,Male,46-60,South,Basic
U16888,Other,<18,Northeast,Premium
U27597,Female,60+,North,Premium
U22284,Other,36-45,North,Free
U41925,Other,60+,Northeast,Premium
U56438,Other,<18,East,Free
U10939,Male,36-45,Central,Basic
U31438,Other,60+,South,Premium
U25027,Male,46-60,Northeast,Basic
U31624,Female,18-25,Northeast,Basic
U20173,Other,46-60,North,Basic
U10364,Male,26-35,Central,Premium
U53073,Male,60+,South,Basic
U10469,Other,26-35,Central,Basic
U35466,Male,36-45,Pan-India,Free
U26755,Male,18-25,Pan-India,Premium
U48953,Female,<18,East,Premium
U51634,Male,36-45,West,Free
U15186,Male,26-35,North,Basic
U28389,Female,46-60,West,Free
U38836,Female,<18,West,Premium
U38722,Male,60+,West,Basic
U22569,Male,36-45,North,Free
U41186,Female,60+,Pan-India,Basic
U12132,Other,<18,West,Basic
U11468,Other,26-35,Pan-India,Premium
U39682,Male,18-25,West,Premium
U25529,Female,46-60,Central,Free
U56719,Other,36-45,North,Free
U34465,Female,60+,South,Premium
U40734,Female,18-25,Northeast,Premium
U32434,Male,18-25,North,Premium
U36224,Other,60+,East,Premium
U50478,Male,60+,West,Free
U51789,Other,60+,Northeast,Basic
U10583,Female,60+,West,Basic
U49864,Female,18-25,Pan-India,Basic
U58914,Other,46-60,North,Premium
U27272,Male,18-25,South,Free
U34183,Male,46-60,North,Basic
U30703,Other,26-35,East,Free
U26544,Other,<18,East,Premium
U35099,Other,60+,South,Free
U36193,Other,18-25,East,Free
U14484,Male,26-35,East,Free
U34186,Other,60+,Pan-India,Free
U21900,Male,26-35,Pan-India,Premium
U52807,Male,60+,Pan-India,Free
U20092,Female,<18,Pan-India,Basic
U35181,Other,46-60,West,Basic
U36369,Female,60+,South,Basic
U56395,Other,26-35,Pan-India,Basic
U52659,Female,26-35,North,Premium
U38304,Female,46-60,South,Free
U47300,Male,26-35,Central,Basic
U48224,Male,46-60,Central,Free
U24683,Male,<18,East,Free
U51764,Other,46-60,Central,Premium
U10500,Female,60+,East,Premium
U52266,Female,46-60,South,Basic
U50817,Female,60+,South,Basic
U32318,Female,36-45,Pan-India,Premium
U28256,Female,46-60,North,Free
U48114,Other,18-25,South,Free
U42237,Female,46-60,East,Premium
U32794,Female,26-35,North,Free
U57259,Male,18-25,Central,Basic
U25345,Female,18-25,West,Free
U55969,Male,18-25,Northeast,Premium
U54242,Male,60+,Northeast,Free
U33268,Male,36-45,West,Premium
U57689,Male,60+,East,Free
U33222,Female,<18,East,Premium
U18156,Other,26-35,Pan-India,Basic
U52249,Female,36-45,Pan-India,Basic
U12196,Female,60+,East,Premium
U15886,Female,60+,West,Premium
U43378,Female,46-60,Northeast,Basic
U51305,Other,46-60,Northeast,Basic
U27842,Male,18-25,North,Premium
U44125,Other,36-45,North,Free
U53918,Female,36-45,Northeast,Free
U26685,Male,26-35,North,Premium
U25002,Other,26-35,East,Free
U33944,Female,60+,North,Basic
U50600,Female,<18,North,Premium
U56147,Other,60+,Central,Premium
U12101,Male,26-35,South,Basic
U35151,Female,18-25,South,Free
U35462,Male,26-35,Northeast,Basic
U51081,Female,<18,South,Free
U16426,Other,36-45,Pan-India,Basic
U27395,Other,36-45,West,Premium
U54415,Female,<18,North,Premium
U48754,Male,18-25,Central,Basic
U32982,Female,<18,South,Basic
U38354,Female,26-35,East,Basic
U43210,Other,<18,North,Basic
U51971,Male,<18,South,Basic
U57231,Female,46-60,East,Free
U22198,Male,46-60,East,Premium
U29762,Female,46-60,North,Basic
U23331,Male,<18,North,Free
U24088,Male,60+,Central,Premium
U19783,Other,46-60,West,Free
U11019,Female,60+,Northeast,Premium
U14730,Other,26-35,East,Premium
U38909,Other,<18,North,Basic
U40818,Other,26-35,North,Premium
U56453,Other,46-60,South,Premium
U28409,Male,60+,South,Premium
U14359,Male,<18,South,Basic
U45876,Other,46-60,East,Premium
U48099,Male,46-60,Central,Free
U17051,Other,26-35,West,Premium
U29651,Other,26-35,North,Basic
U11656,Male,<18,West,Free
U46101,Other,<18,South,Basic
U39241,Other,36-45,South,Premium
U18611,Male,<18,Pan-India,Free
U16881,Other,<18,South,Premium
U14117,Other,36-45,Northeast,Premium
U14123,Female,36-45,Pan-India,Free
U16824,Female,46-60,Northeast,Premium
U43844,Female,46-60,Northeast,Basic
U32742,Female,<18,North,Premium
U25052,Female,46-60,Pan-India,Basic
U34055,Male,36-45,Pan-India,Free
U22602,Female,46-60,South,Premium
U54640,Female,18-25,Pan-India,Basic
U28677,Male,26-35,North,Premium
U12334,Other,60+,East,Free
U10184,Female,18-25,Northeast,Basic
U39981,Female,60+,East,Free
U10606,Other,46-60,Central,Free
U32577,Male,26-35,North,Free
U43286,Female,<18,West,Free
U40641,Other,26-35,South,Free
U53624,Female,<18,South,Premium
U23908,Female,60+,Central,Free
U47572,Male,<18,North,Free
U27729,Other,36-45,North,Basic
U56053,Other,46-60,Pan-India,Basic
U50491,Male,60+,Pan-India,Basic
U30310,Other,46-60,North,Free
U30158,Other,18-25,West,Premium
U40191,Female,60+,North,Basic
U19690,Male,46-60,Pan-India,Free
U37007,Female,26-35,Northeast,Premium
U10198,Other,46-60,Northeast,Free
U27752,Other,<18,North,Basic
U37295,Male,36-45,West,Free
U46141,Female,60+,East,Basic
U15448,Other,<18,West,Premium
U25509,Male,<18,North,Basic
U21121,Male,46-60,East,Premium
U53503,Other,18-25,West,Premium
U46761,Other,36-45,North,Premium
U49166,Other,60+,South,Free
U13096,Female,26-35,East,Free
U19904,Female,18-25,East,Free
U42862,Female,<18,East,Free
U45647,Female,60+,Pan-India,Basic
U10843,Male,26-35,East,Basic
U59611,Female,18-25,Pan-India,Free
U58837,Other,26-35,Northeast,Premium
U19781,Male,18-25,Central,Premium
U44330,Male,18-25,West,Free
U21818,Female,<18,South,Free
U37435,Female,46-60,Central,Free
U12594,Male,46-60,South,Free
U36950,Female,60+,Central,Premium
U39026,Male,26-35,North,Premium
U13104,Other,<18,East,Premium
U19890,Female,60+,South,Basic
U20945,Female,46-60,North,Basic
U32613,Male,60+,East,Premium
U40454,Female,26-35,East,Premium
U32735,Male,36-45,Pan-India,Premium
U23340,Other,46-60,Pan-India,Free
U16224,Other,46-60,North,Free
U16439,Male,36-45,Pan-India,Premium
U29154,Male,60+,Central,Basic
U54782,Other,26-35,West,Basic
U35530,Male,46-60,North,Premium
U13721,Female,18-25,Pan-India,Free
U51192,Other,46-60,Northeast,Premium
U27337,Male,26-35,South,Premium
U58120,Other,18-25,Pan-India,Basic
U21577,Female,26-35,Northeast,Premium
U12958,Female,18-25,Central,Premium
U57772,Other,18-25,East,Basic
U22862,Female,60+,Central,Premium
U40485,Other,18-25,North,Premium
U36246,Female,46-60,West,Free
U42173,Female,<18,North,Free
U42007,Other,18-25,North,Basic
U33571,Other,46-60,East,Free
U45324,Male,46-60,Pan-India,Basic
U50945,Female,<18,East,Premium
U51436,Female,60+,Northeast,Premium
U20809,Other,60+,Pan-India,Basic
U26839,Male,18-25,Central,Basic
U17004,Female,46-60,Pan-India,Basic
U43205,Male,<18,North,Premium
U45489,Other,60+,West,Free
U18723,Other,26-35,South,Basic
U10514,Male,18-25,West,Free
U49752,Other,26-35,Northeast,Free
U36546,Male,26-35,West,Premium
U36863,Male,36-45,Central,Premium
U19439,Male,46-60,South,Free
U43848,Female,<18,North,Premium
U27012,Male,26-35,West,Free
U57910,Female,36-45,East,Premium
U21435,Other,<18,West,Basic
U21448,Female,36-45,South,Free
U23060,Female,<18,Northeast,Free
U53040,Female,18-25,West,Free
U21960,Male,26-35,North,Free
U19865,Female,18-25,Central,Premium
U35701,Female,60+,Northeast,Free
U10632,Other,18-25,North,Free
U55582,Other,26-35,North,Free
U57018,Male,26-35,Central,Basic
U14309,Other,60+,North,Premium
U24581,Other,26-35,Central,Free
U32152,Female,46-60,Pan-India,Premium
U23700,Female,<18,Pan-India,Free
U28814,Other,18-25,Central,Basic
U54549,Female,<18,North,Free
U30314,Other,46-60,West,Basic
U23901,Male,18-25,Northeast,Free
U18489,Male,60+,South,Premium
U26158,Male,60+,South,Premium
U23414,Other,36-45,East,Premium
U49324,Other,46-60,Pan-India,Basic
U29340,Other,<18,Pan-India,Premium
U26530,Other,46-60,West,Premium
U19445,Other,18-25,Pan-India,Premium
U24707,Other,60+,East,Free
U57108,Female,<18,Northeast,Premium
U33837,Female,26-35,Northeast,Basic
U15388,Female,36-45,Central,Premium
U57859,Other,36-45,Pan-India,Free
U11533,Male,26-35,Northeast,Basic
U37399,Female,46-60,East,Premium
U12281,Male,46-60,Pan-India,Basic
U32234,Female,26-35,Central,Basic
U22270,Other,18-25,Northeast,Basic
U46568,Male,60+,Central,Free
U18839,Female,<18,Central,Basic
U34137,Female,<18,Central,Premium
U45674,Male,60+,West,Free
U23381,Male,<18,Central,Free
U50582,Female,60+,South,Free
U12084,Male,60+,East,Premium
U46591,Female,36-45,Northeast,Free
U25231,Female,<18,Pan-India,Premium
U40576,Other,<18,South,Basic
U51886,Female,46-60,South,Basic
U47628,Female,46-60,Pan-India,Premium
U23948,Other,60+,South,Premium
U41117,Male,18-25,West,Free
U29779,Female,18-25,North,Premium
U31907,Female,26-35,North,Basic
U19811,Female,60+,South,Premium
U53935,Female,18-25,Central,Basic
U41441,Other,<18,West,Free
U51221,Other,36-45,Central,Premium
U49932,Other,26-35,Pan-India,Premium
U56299,Female,18-25,Central,Free
U59476,Female,36-45,Central,Basic
U46187,Male,36-45,South,Premium
U51293,Male,36-45,Pan-India,Free
U55215,Female,18-25,Pan-India,Basic
U21953,Female,<18,Northeast,Basic
U52898,Female,<18,North,Basic
U38426,Other,36-45,Central,Free
U45385,Female,18-25,South,Premium
U58045,Male,46-60,Northeast,Basic
U28281,Male,18-25,South,Basic
U47971,Female,18-25,Pan-India,Free
U19301,Other,60+,Pan-India,Premium
U34510,Other,36-45,South,Basic
U30769,Other,18-25,Northeast,Premium
U49844,Other,26-35,East,Free
U53455,Female,18-25,South,Free
U24874,Female,18-25,Pan-India,Premium
U33535,Other,60+,West,Basic
U12465,Other,60+,South,Basic
U47304,Female,26-35,Central,Free
U11366,Male,26-35,West,Free
U18156,Other,46-60,West,Premium
U12579,Other,46-60,West,Premium
U39350,Male,36-45,Central,Free
U13592,Male,26-35,South,Free
U31559,Male,46-60,East,Free
U36990,Male,18-25,Northeast,Premium
U31932,Male,26-35,Central,Basic
U28814,Other,36-45,Pan-India,Basic
U42652,Other,60+,West,Basic
U29602,Other,36-45,East,Basic
U37717,Male,60+,North,Basic
U56146,Female,36-45,South,Basic
U40970,Other,<18,West,Premium
U52387,Female,60+,West,Basic
U56421,Male,26-35,East,Premium
U38897,Male,60+,North,Free
U31515,Male,36-45,Northeast,Free
U21916,Female,60+,East,Basic
U56663,Female,26-35,Central,Free
U56658,Other,60+,Central,Free
U45038,Male,18-25,Pan-India,Free
U54623,Other,36-45,Central,Premium
U39343,Other,60+,South,Free
U21240,Male,26-35,Northeast,Basic
U45940,Other,26-35,South,Free
U35251,Other,18-25,West,Basic
U17118,Other,26-35,South,Basic
U55997,Male,60+,East,Basic
U37314,Other,46-60,Northeast,Free
U34178,Other,36-45,East,Free
U54579,Other,46-60,East,Free
U24456,Female,18-25,Northeast,Free
U46163,Other,36-45,Central,Free
U58238,Other,<18,North,Free
U35205,Male,26-35,Central,Basic
U36305,Female,60+,Pan-India,Basic
U10387,Female,26-35,Northeast,Premium
U19417,Female,26-35,North,Free
U20675,Male,<18,East,Free
U57484,Male,46-60,Northeast,Free
U34673,Other,46-60,Pan-India,Free
U10403,Male,26-35,Northeast,Free
U37593,Female,18-25,East,Free
U38647,Female,<18,East,Premium
U19502,Other,46-60,West,Basic
U42957,Other,26-35,Pan-India,Premium
U26850,Male,60+,South,Basic
U41111,Other,36-45,West,Free
U17585,Other,60+,Pan-India,Free
U20839,Female,26-35,Northeast,Basic
U26533,Female,<18,West,Basic
U22182,Female,60+,North,Free
U52973,Other,36-45,Pan-India,Basic
U25454,Female,18-25,Pan-India,Premium
U55603,Female,36-45,West,Premium
U37466,Female,18-25,East,Premium
U34685,Male,36-45,Northeast,Premium
U30059,Female,36-45,Pan-India,Premium
U41353,Other,26-35,Pan-India,Premium
U31375,Female,18-25,Pan-India,Free
U55041,Male,60+,Northeast,Premium
U48407,Female,<18,South,Premium
U36152,Female,18-25,Central,Basic
U38203,Male,<18,South,Basic
U10087,Male,18-25,Pan-India,Free
U46421,Other,<18,Pan-India,Basic
U32458,Male,18-25,North,Basic
U49677,Male,36-45,Central,Free
U22257,Female,26-35,Central,Basic
U52422,Other,18-25,Northeast,Free
U36503,Female,<18,Pan-India,Free
U55553,Male,36-45,Central,Basic
U12201,Male,60+,West,Free
U40061,Female,18-25,South,Premium
U14262,Other,36-45,West,Free
U43247,Female,36-45,Northeast,Basic
U41410,Female,46-60,West,Free
U48491,Male,<18,West,Free
U17980,Other,18-25,Pan-India,Free
U39202,Other,<18,North,Basic
U20661,Female,18-25,South,Free
U14347,Other,46-60,North,Premium
U21056,Female,<18,East,Basic
U44281,Male,<18,Pan-India,Free
U11547,Male,46-60,West,Basic
U49425,Male,18-25,East,Premium
U58231,Female,60+,North,Basic
U52451,Female,60+,East,Premium
U43614,Other,18-25,Northeast,Basic
U31748,Other,36-45,Northeast,Free
U51462,Other,60+,East,Basic
U56589,Other,26-35,Pan-India,Basic
U50629,Male,18-25,West,Basic
U33207,Male,36-45,Central,Free
U15764,Male,60+,Northeast,Premium
U34506,Other,36-45,Northeast,Premium
U57699,Male,36-45,North,Basic
U56139,Male,46-60,Northeast,Basic
U12680,Female,36-45,East,Basic
U41924,Female,60+,Central,Basic
U15967,Other,60+,East,Free
U34753,Female,60+,West,Premium
U14311,Male,<18,Pan-India,Premium
U41577,Female,46-60,Pan-India,Free
U36136,Female,26-35,Northeast,Premium
U14665,Male,26-35,Pan-India,Premium
U30694,Male,36-45,South,Premium
U25808,Other,36-45,Northeast,Basic
U31356,Female,18-25,Central,Free
U46839,Male,36-45,Pan-India,Premium
U55240,Male,60+,Pan-India,Basic
U55888,Male,46-60,West,Premium
U20169,Other,60+,Pan-India,Premium
U12944,Other,46-60,Northeast,Free
U25391,Other,18-25,South,Free
U46703,Female,46-60,Northeast,Basic
U26595,Male,60+,South,Basic
U20775,Male,18-25,Northeast,Premium
U41927,Female,46-60,North,Free
U58209,Male,60+,North,Basic
U34146,Other,46-60,Central,Premium
U42769,Male,46-60,North,Premium
U53803,Other,36-45,Pan-India,Free
U34063,Male,46-60,East,Basic
U57884,Male,36-45,North,Premium
U26355,Other,46-60,North,Basic
U49116,Male,46-60,West,Basic
U37192,Other,46-60,North,Free
U44350,Female,<18,Central,Free
U14270,Other,60+,Northeast,Premium
U45798,Other,26-35,East,Premium
U12520,Male,26-35,North,Free
U21463,Male,<18,Pan-India,Basic
U49301,Male,<18,North,Basic
U56529,Male,26-35,East,Free
U31280,Other,46-60,Central,Premium
U31960,Female,26-35,North,Free
U21203,Male,26-35,Pan-India,Premium
U58890,Female,60+,South,Basic
U42183,Female,46-60,Central,Free
U27951,Other,<18,Pan-India,Free
U19949,Female,36-45,North,Premium
U40710,Female,18-25,North,Premium
U18365,Female,46-60,West,Basic
U11142,Female,60+,South,Basic
U29352,Male,36-45,Central,Basic
U22324,Female,46-60,Northeast,Premium
U28367,Female,60+,Central,Basic
U44940,Female,46-60,East,Basic
U21512,Other,46-60,East,Free
U33830,Male,46-60,South,Basic
U32722,Male,18-25,West,Free
U21735,Male,46-60,West,Premium
U15656,Male,36-45,North,Free
U36105,Male,18-25,East,Basic
U48487,Other,18-25,South,Premium
U41172,Female,26-35,Pan-India,Free
U10181,Male,<18,South,Premium
U17121,Female,60+,South,Free
U55358,Male,<18,West,Basic
U56018,Other,46-60,South,Basic
U38168,Male,60+,Pan-India,Free
U26522,Other,46-60,Northeast,Basic
U59140,Male,36-45,South,Basic
U35226,Other,46-60,Pan-India,Basic
U57085,Other,46-60,East,Premium
